Date,Article Class,Article Titles,List of Article Author Names
2019-Mar,Meeting Highlights,"Highlights of the annual scientific meeting of the 25th congress of the European Society of Musculoskeletal Radiology (ESSR) 2018, Amsterdam, The Netherlands",Monique Reijnierse
2019-Mar,Scientific Article,Plexiform fibrohistiocytic tumor: imaging features and clinical findings,Marcus GhumanSinchun HwangDavid M. Panicek
2019-Mar,Technical Report,How we do it: shifting MR arthrogram compounding from the fluoroscopy suite to the sterile pharmacy,Chad C. AdamsMatthew J. LoewenLisabeth A. Bush
2019-Mar,Test Yourself: Question,4-year-old boy referring for diffuse joint stiffness and progressive bilateral visual impairment,Vinh Dat-Minh LePaolo Simoni
2019-Mar,Case Report,Flexor carpi radialis brevis: a rare accessory muscle presenting as an intersection syndrome of the wrist,Patcharee HongsmatipEdward SmitamanDonald L. Resnick
2019-Mar,Case Report,Case report: urinoma in the proximal thigh mimicking a soft tissue neoplasm,Christopher SchuppertChristoph RehnitzChristopher L. Schlett
2019-Mar,Case Report,Sequelae of bilateral luxatio erecta in the acute post-reduction period demonstrated by MRI: a case report and literature review,Pei Ing NgamJames Thomas HallinanDavid Soon Yiew Sia
2019-Mar,Test Yourself: Answer,4-year-old boy referring for diffuse joint stiffness and progressive bilateral visual impairment,Vinh Dat-Minh LePaolo Simoni
2019-Mar,Browser's Notes,Browser's notes,
2019-Mar,Abstracts,"Annual Meeting Abstracts of the Society of Skeletal Radiology (SSR) 2019, Scottsdale, Arizona, USA",
2019-Mar,Scientific Article,3D-MRI versus 3D-CT in the evaluation of osseous anatomy in femoroacetabular impingement using Dixon 3D FLASH sequence,Mohammad SamimNima EftekharySoterios Gyftopoulos
2019-Mar,Case Report,Delayed intra-articular pseudoaneurysm of the dorsalis pedis artery following arthroscopic Broström results in an unusual clinical presentation,Samia SayyidSameh LabibAdam Daniel Singer
2019-Apr,Perspective,Revisiting tract seeding and compartmental anatomy for percutaneous image-guided musculoskeletal biopsies,Leanne L. Seeger
2019-Apr,Scientific Article,Normal meniscal dimensions at different patient ages—MRI evaluation,Maria A. BedoyaChristian A. BarreraVictor M. Ho-Fung
2019-Apr,Case Report,Mesenchymal hamartoma of the chest wall in a 10-year-old girl mimicking malignancy: a case report,Tomoko TanakaShigehisa FuminoTatsuro Tajiri
2019-Apr,Case Report,Desmoplastic fibroblastoma mimicking tenosynovial giant cell tumor encasing a tendon of the foot,Sang Min LeeDoo Hoe HaYoung Rak Choi
2019-Apr,Case Report,Extremity gossypiboma mimicking sarcoma: case report and review,Varun PuvanesarajahLaura M. FayadCarol D. Morris
2019-Apr,Case Report,Calcified leiomyoma of the deltoid: pathophysiology and imaging review,Fauniel RowlandCatherine CallWei-Lien Wang
2019-Apr,Test Yourself: Question,Worsening right hip pain,Jafar A. HussainSayed AliOmer A. Awan
2019-Apr,Technical Report,Modified technique for imaging the wrist and elbow in obese and claustrophobic patients using a non-open standard MRI scanner,Nishant GuptaIan KarolDaichi Hayashi
2019-Apr,Technical Report,Initial experience with dual-energy computed tomography-guided bone biopsies of bone lesions that are occult on monoenergetic CT,Michael C. BurkeAnkur GargImran M. Omar
2019-Apr,Scientific Article,Cone-beam CT measurements of distal tibio-fibular syndesmosis in asymptomatic uninjured ankles: does weight-bearing matter?,Delaram ShakoorGreg M. OsgoodShadpour Demehri
2019-Apr,Scientific Article,Platelet-rich plasma vs. steroid injections for hamstring injury—is there really a choice?,Peter Yong Soo ParkChunyan CaiManickam Kumaravel
2019-Apr,Scientific Article,A pilot study assessing T1-weighted muscle MRI in amyotrophic lateral sclerosis (ALS),Luca DiamantiEnrico AlfonsiAnna Pichiecchio
2019-Apr,Scientific Article,Ultrasound-guided injection for the diagnosis and treatment of posteromedial knee friction syndrome,F. Joseph SimeoneArvin KheterpalMartin Torriani
2019-Apr,Scientific Article,Magnetic resonance imaging of the craniovertebral junction in early rheumatoid arthritis,Marina CarottiFausto SalaffiAndrea Giovagnoni
2019-Apr,Scientific Article,Anterior capsular abnormality: another important MRI finding for the diagnosis of adhesive capsulitis of the shoulder,Jina ParkYoon-Hee ChoiDong Hyun Kim
2019-Apr,Scientific Article,Quantification of shoulder muscle intramuscular fatty infiltration on T1-weighted MRI: a viable alternative to the Goutallier classification system,Derik L. DavisThomas KeslerJiachen Zhuo
2019-Apr,Scientific Article,Correlation of bone marrow cellularity and metabolic activity in healthy volunteers with simultaneous PET/MR imaging,Takeshi FukudaMingqian HuangChuan Huang
2019-Apr,Review Article,Thalidomide and neurotrophism,Judith R. SoperS. Fiona BonarHans-Georg Willert
2019-Apr,Review Article,The current status of MRI in the pre-operative assessment of intramedullary conventional appendicular osteosarcoma,Asif SaifuddinBan SharifJeremy Whelan
2019-Apr,Test Yourself: Answer,Worsening right hip pain,Jafar A. HussainSayed AliOmer A. Awan
2019-Apr,BROWSER'S NOTES,Browser’s notes,
2019-May,Review Article,Whole-body MRI and pathological findings in adult patients with myopathies,Xavier TomasJose Cesar MilisendaJosep Maria Grau-Junyent
2019-May,Test Yourself: Answer,Painful right elbow mass,Veronica AttardAsif Saifuddin
2019-May,Browser's Notes,Browser’s notes,
2019-May,Review Article,MRI and ultrasound of the hands and wrists in rheumatoid arthritis. I. Imaging findings,David A. Rubin
2019-May,Perspective,Perspective from a pediatric orthopedic deformity surgeon,Brian E. Grottkau
2019-May,Scientific Article,Pseudoaneurysm after total knee arthroplasty: imaging findings in 7 patients,Steven P. DanielsDarryl B. SneagYoshimi Endo
2019-May,Scientific Article,3D hindfoot alignment measurements based on low-dose biplanar radiographs: a clinical feasibility study,Andrea B. RosskopfReto SutterFlorian M. Buck
2019-May,Scientific Article,Clinical and patient-reported outcomes after image-guided intra-articular therapeutic hip injections for osteoarthritis-related hip pain: a retrospective study,William R. WalterCraig BearisonSoterios Gyftopoulos
2019-May,Scientific Article,Magnetic resonance imaging appearances of the capsulo-osseous layer of the iliotibial band and femoral attachments of the iliotibial band in the normal and pivot-shift ACL injured knee,Monica KhannaChimnay GupteMiny Walker
2019-May,Scientific Article,Dynamic ultrasound in the evaluation of patients with suspected slipping rib syndrome,Dane Van TasselLisa E. McMahonCraig E. Barnes
2019-May,Scientific Article,T2 mapping of cartilage and menisci at 3T in healthy subjects with knee malalignment: initial experience,Jiangtao ZhuNingfan HuLigong Wang
2019-May,Scientific Article,Susceptibility-weighted MR imaging to improve the specificity of erosion detection: a prospective feasibility study in hand arthritis,Sevtap Tugce UlasTorsten DiekhoffMarcus Richard Makowski
2019-May,Case Report,Alkaptonuria—an atypical case: multi-modality imaging review,Dillibabu EthirajVenkatraman IndiranM. Prabakaran
2019-May,Scientific Article,Value of low-dose whole-body CT in the management of patients with multiple myeloma and precursor states,F. Joseph SimeoneJoel P. HarveyMiriam A. Bredella
2019-May,Scientific Article,"Subacromial impingement anatomy and its association with rotator cuff pathology in women: radiograph and MRI correlation, a retrospective evaluation",Chayanit SasipongananRiham DessoukyAvneesh Chhabra
2019-May,Technical Report,A prototype assembled 3D-printed phantom of the glenohumeral joint for fluoroscopic-guided shoulder arthrography,Ramin JavanAmy L. EllenbogenShawn Haji-Momenian
2019-May,Test Yourself: Question,Painful right elbow mass,Veronica AttardAsif Saifuddin
2019-May,Case Report,Partial anterior tunnel syndrome: a retrospective analysis of ultrasound findings in four surgically proven cases,Stefano BianchiLaure DrozMarino Delmi
2019-May,Case Report,Bone metastases with multiple fluid-fluid levels from gastric cancer: a case report and review of literature,Min ChenHuishu Yuan
2019-May,Scientific Article,Aneurysmal bone cyst treated with percutaneous doxycycline: is a single treatment sufficient?,Jason T. K. WoonDamien HoonAnthony J. Doyle
2019-May,Case Report,Surface-type chondromyxoid fibroma in an elderly patient: a case report and literature review,Kate Anne HarringtonSyed HodaRenata La Rocca Vieira
2019-Jun,Scientific Article,MRI appearance of the anomalous volar radiotriquetral ligament in true Madelung deformity,Theodore J. HansonNaveen S. MurthyMark S. Collins
2019-Jun,Scientific Article,Multilevel glenoid morphology and retroversion assessment in Walch B2 and B3 types,Mohammad SamimMandeep VirkSoterios Gyftopoulos
2019-Jun,Scientific Article,"CT, conventional, and functional MRI features of skull lymphoma: a series of eight cases in a single institution",Zhen XingHongjie HuangDairong Cao
2019-Jun,Review Article,Surgical management of patellofemoral instability. I. Imaging considerations,Neeraj PurohitNicholas HancockAsif Saifuddin
2019-Jun,Scientific Article,Radiofrequency ablation in the treatment of atypical cartilaginous tumours in the long bones: lessons learned from our experience,Edwin F. DierselhuisJelle OverboschPaul C. Jutte
2019-Jun,Scientific Article,Five-year development of lumbar disc degeneration—a prospective study,Elina Iordanova SchistadSiri BjorlandAnsgar Espeland
2019-Jun,Scientific Article,Diabetics show accelerated progression of knee cartilage and meniscal lesions: data from the osteoarthritis initiative,Jan NeumannJulio B. GuimaraesThomas M. Link
2019-Jun,Scientific Article,Iliopsoas snapping hip: improving the diagnostic value of magnetic resonance imaging with a novel parameter,Wajeeh BakhshSean ChildsBrian Giordano
2019-Jun,Scientific Article,Patterns of cartilage degeneration in knees with medial tibiofemoral offset,Palanan SiriwanarangsunKaren C. ChenChristine B. Chung
2019-Jun,Browser's Notes,Browser’s notes,
2019-Jun,Scientific Article,Single-shot CT after wrist trauma: impact on detection accuracy and treatment of fractures,Monique BrinkArjan SteenbakkersMathias Prokop
2019-Jun,Technical Report,"Ultrasound-guided percutaneous compartment release: a novel technique, proof of concept, and clinical relevance",Joseph DaviesValerie FallonJimmy Kyaw Tun
2019-Jun,Case Report,"Intra-articular fibroma-like perivascular epithelioid tumor (PEComa) mimicking tenosynovial giant cell tumor, diffuse type",Joel P. HarveyDavid I. SusterMiriam A. Bredella
2019-Jun,Case Report,Radial artery aneurysm secondary to dynamic entrapment by extensor pollicis longus tendon: a case of snapping thumb,Hatim AlabsiThomas GoetzDarra T. Murphy
2019-Jun,Case Report,Scurvy: a rare case in an adult,Rajat JoshiCristy N. Gustas-FrenchDonald Flemming
2019-Jun,Case Report,Primary osseous sacral neuroblastoma in an adult,Muhammad NaeemHoracio MalufJack W. Jennings
2019-Jun,Case Report,Recurrence of carpal tunnel syndrome in isolated non-syndromic macrodactyly: DTI examination of a giant median nerve,Ignazio G. VetranoLuca Maria SconfienzaVittoria Nazzi
2019-Jun,Case Report,Scurvy: an unusual complication of paediatric cancer treatment,Iain IrvineTriona WalsheRoisin Hayes
2019-Jun,Review Article,MR and ultrasound of the hands and wrists in rheumatoid arthritis. Part II. Added clinical value,David A. Rubin
2019-Jun,Scientific Article,Femoral head subchondral impaction on CT: what does it mean in patients with acetabular fracture?,Pierre-Alexandre PolettiMehmet SahinAlexandra Platon
2019-Jun,Perspective,"“Should we measure?” and more importantly, “should we report?” Perspective from an adult orthopaedic deformity surgeon",Francis H. Shen
2019-Jul,Browser's Notes,Browser’s Notes,
2019-Jul,Case Report,Adjuvant MRI-guided percutaneous cryoablation treatment for aneurysmal bone cyst,Jan FritzLena SonnowCarol D. Morris
2019-Jul,Review Article,Magnetic resonance imaging of subchondral insufficiency fractures of the lower limb,Sangoh LeeAsif Saifuddin
2019-Jul,Scientific Article,Assessing the effects of long-term osteoporosis treatment by using conventional spine radiographs: results from a pilot study in a sub-cohort of a large randomized controlled trial,Hans Peter DimaiRichard LjuharAstrid Fahrleitner-Pammer
2019-Jul,Scientific Article,Preliminary validation of the Simplified Psoriatic Arthritis Radiographic Score (SPARS),Fausto SalaffiMarina CarottiAndrea Giovagnoni
2019-Jul,Scientific Article,B-cell peripheral neurolymphomatosis: MRI and 18F-FDG PET/CT imaging characteristics,Anthony H. DeVriesBenjamin M. HoweStephen M. Broski
2019-Jul,Scientific Article,Does facet tropism negatively affect the response to transforaminal epidural steroid injections? A prospective clinical study,Alp Eren CelenlıogluSavas SencanOsman Hakan Gunduz
2019-Jul,Scientific Article,"Soft tissue aneurysmal bone cyst: six new cases with imaging details, molecular pathology, and review of the literature",Wangzhao SongAlbert J. H. SuurmeijerHerman M. Kroon
2019-Jul,Scientific Article,The lateral joint space width can be measured reliably with Telos valgus stress radiography in medial knee osteoarthritis,Daan KoppensOle Gade SørensenTorben Bæk Hansen
2019-Jul,Scientific Article,MRI of a painful carpal boss: variations at the extensor carpi radialis brevis insertion and imaging findings in regional traumatic and overuse injuries,Mika T. NevalainenJohannes B. RoedlAdam C. Zoga
2019-Jul,Scientific Article,Maturation-dependent findings in the shoulders of pediatric baseball players on magnetic resonance imaging,Jie C. NguyenBin LinHollis G. Potter
2019-Jul,Review Article,Surgical management of patellofemoral instability part 2: post-operative imaging,Neeraj PurohitNicholas HancockAsif Saifuddin
2019-Jul,Perspective,Three approaches to full-spine radiograph measurement reporting,Takashi TakahashiDavid PollyChristopher T. Martin
2019-Jul,Technical Report,Technically successful ultrasound-guided percutaneous sural nerve needle biopsy in a patient with indeterminate peripheral neuropathy,Michael C. ForneyXin LiMurali Sundaram
2019-Jul,Technical Report,Optimizing methods to quantify intramuscular fat in rotator cuff tears with normalization,Paul S. MicevychAnkur GargAmee L. Seitz
2019-Jul,Case Report,Medial iliac stress fractures in athletes: report of two rare cases: review of literature and clinical recommendations,Kenneth VitaleEdward SmitamanBrady K. Huang
2019-Jul,Case Report,Osteomyelitis of a sacral neurocentral synchondrosis: a case report of another metaphyseal equivalent,Osamu MiyazakiMikiko MiyasakaShunsuke Nosaka
2019-Jul,Case Report,"Posterior dislocation of the long head biceps tendon: a case report, specific radiographic finding, and review of the literature",Peter MoreauMichael BreslerWinnie A. Mar
2019-Jul,Case Report,Ulnar hemimelia: a report of four cases,Meltem ÖzdemirAynur TuranRasime Pelin Kavak
2019-Jul,Case Report,Fracture of the polyethylene tibial post in the posterior-stabilized total knee prosthesis: arthrographic and CT arthrographic diagnosis,Yung HsuChien-Hung LinClement Kuen-Huang Chen
2019-Jul,Scientific Article,Characterization of glenoid bone remodeling in professional baseball pitchers,Jonathan RassiNaveen SubhasJoshua Polster
2019-Aug,Case Report,Multiple spontaneous tendon ruptures from enthesis failure in primary hyperparathyroidism: a case report and review of imaging findings,Maaz Mohammad SalahYan Rong YongLe Roy Chong
2019-Aug,Case Report,Selective rickets from localized advanced maturation—a case report,Alan E. Oestreich
2019-Aug,Test Yourself: Answer,Test yourself: question: “painless right leg swelling”,K. Aaron ShawJoshua S. MurphyKelley W. Marshall
2019-Aug,Case Report,Osteoma-like melorheostosis: a rare type of skeletal dysplasia depicted on FDG PET/CT,Alain S. Abi-GhanemKarl AsmarSamar Muwakkit
2019-Aug,Case Report,Primary infectious costochondritis due to Prevotella nigrescens in an immunocompetent patient: clinical and imaging findings,Françoise DerouaneMichel LambertFrédéric E. Lecouvet
2019-Aug,Test Yourself: Question,Test Yourself: Question: “Painless right leg swelling”,K. Aaron ShawJoshua S. MurphyKelley W. Marshall
2019-Aug,Case Report,Giant cell reparative granuloma of the scapula: report of a case and literature review,Andrea AngeliniElisa PagliariniPietro Ruggieri
2019-Aug,Technical Report,Shoulder manipulation under targeted ultrasound-guided rotator interval block for adhesive capsulitis,David McKeanPhilip YoongBernard John McElroy
2019-Aug,Scientific Article,Anatomical variations related to pathological conditions of the peroneal tendon: evaluation of ankle MRI with a 3D SPACE sequence in symptomatic patients,Elif ErsozNil TokgozMurat Ucar
2019-Aug,Scientific Article,Quantitative magnetic resonance imaging in patellar tendon-lateral femoral condyle friction syndrome: relationship with subtle patellofemoral instability,Jia LiBo ShengHaitao Yang
2019-Aug,Scientific Article,Shear-wave elastography of the ulnar collateral ligament of the elbow in healthy volunteers: a pilot study,Nakul GuptaJohn S. LabisPatrick C. McCulloch
2019-Aug,Scientific Article,Bennett lesions in overhead athletes and associated shoulder abnormalities on MRI,Jenika KarcichJonathan K. KazamTony T. Wong
2019-Aug,Scientific Article,Muscle shear wave elastography in idiopathic inflammatory myopathies: a case–control study with MRI correlation,Abdulrahman M. AlfuraihPhilip O’ConnorRichard J. Wakefield
2019-Aug,Scientific Article,Clinical and radiological findings in Brazilian patients with mucolipidosis types II/III,José Ricardo Magliocco CeroniGustavo Marquezani SpoladorChong Ae Kim
2019-Aug,Scientific Article,Volume of hip synovitis detected on contrast-enhanced magnetic resonance imaging is associated with disease severity after collapse in osteonecrosis of the femoral head,Hiroyuki HatanakaGoro MotomuraYasuharu Nakashima
2019-Aug,Scientific Article,Incidence of gadolinium or fluid signal within surgically proven glenoid labral tears at MR arthrography,Nicholas C. NaceyMichael G. FoxDavid R. Diduch
2019-Aug,Browser’s Notes,Browser’s notes,
2019-Aug,Technical Report,Optimizing radiation dose parameters in MDCT arthrography of the shoulder: illustration of basic concepts in a cadaveric study,Julien AguetFabio BeccePatrick Omoumi
2019-Aug,Skeletal Radiology: The Year in Review,Skeletal Radiology: The Year in Review 2018,Mark J. KransdorfThomas M. LinkDaniel I. Rosenthal
2019-Aug,Review Article,Thermal ablation to relieve pain from metastatic bone disease: a systematic review,Nicolò GennaroLuca Maria SconfienzaEzio Lanza
2019-Aug,Review Article,"Adhesive capsulitis: review of imaging findings, pathophysiology, clinical presentation, and treatment options",Brandon K. K. FieldsMatthew R. SkalskiGeorge R. Matcuk Jr
2019-Sep,Review Article,"High-resolution ultrasound of the fascia lata iliac crest attachment: anatomy, pathology, and image-guided treatment",Swati DeshmukhSamir F. AbboudImran M. Omar
2019-Sep,Browser’s Notes,Browser’s notes,
2019-Sep,Case Report,Fibroma of the patellar tendon sheath—a rare case in a young boy,Khushboo PilaniaBhavin JankhariaFayaz W. Memon
2019-Sep,Case Report,Hourglass-like constriction neuropathy of the suprascapular nerve detected by high-resolution magnetic resonance neurography: report of three patients,Du Hwan KimJaelim KimDuk Hyun Sung
2019-Sep,Case Report,Chondrosarcoma arising within synovial chondromatosis of the lumbar spine,Laurel A. LittrellCarrie Y. InwardsDoris E. Wenger
2019-Sep,Case Report,Isolated posterior cruciate ligament aplasia: a case report,Nicolás GarcíaA. DebandiM. Verdugo
2019-Sep,Technical Report,Semi-dynamic MRI of climbing-associated injuries of the finger,Frank SchellhammerAndreas Vantorre
2019-Sep,Scientific Article,Reliability and diagnostic utility of radiographs in patients with incomplete atypical femoral fractures,Ulas AkgunUmut CanbekNevres Hurriyet Aydogan
2019-Sep,Scientific Article,Are patients more likely to have hip osteoarthritis progression and femoral head collapse after hip steroid/anesthetic injections? A retrospective observational study,F. Joseph SimeoneJoao R. T. VicentiniConnie Y. Chang
2019-Sep,Scientific Article,Fibular head avulsion fractures accompanying operative treated medial tibial plateau fractures,Tarvo SillatMarkus ParkkinenSeppo K. Koskinen
2019-Sep,Scientific Article,Needle tenotomy with PRP versus lidocaine in epicondylopathy: clinical and ultrasonographic outcomes over twenty months,Jose Ignacio MartinLeire AtilanoIsabel Andia
2019-Sep,Scientific Article,Percutaneous image-guided bone biopsy of osteomyelitis in the foot and pelvis has a low impact on guiding antibiotics management: a retrospective analysis of 60 bone biopsies,Nicholas SaidMajid ChalianNicholas C. Nacey
2019-Sep,Scientific Article,Tenosynovial fluid as an indication of early posterior tibial tendon dysfunction in patients with normal tendon appearance,Felix M. GonzalezElie HarmoucheJason Bariteau
2019-Sep,Scientific Article,Torque application helps to diagnose incomplete syndesmotic injuries using weight-bearing computed tomography images,Nicola KrähenbühlTravis L. BaileyAlexej Barg
2019-Sep,Scientific Article,Central osteophytes develop in cartilage with abnormal structure and composition: data from the Osteoarthritis Initiative cohort,Martin KretzschmarUrsula HeilmeierThomas M. Link
2019-Sep,Scientific Article,Cementoplasty of pelvic bone metastases: systematic assessment of lesion filling and other factors that could affect the clinical outcomes,Thomas P. MoserMarta OnateVéronique Freire
2019-Sep,Review Article,The peroneus longus muscle and tendon: a review of its anatomy and pathology,James Thomas Patrick Decourcy HallinanWilbur WangBrady K. Huang
